"radius(mass), created by Plot Digitizer, 2.6.8"
"Date: 4/28/16, 3:31:53 PM"


63
mass,radius
2.03450,38.4497,
2.59318,42.3738,
4.30190,50.9058,
7.10687,63.8719,
9.84874,69.6164,
11.2599,82.8030,
12.1949,193.148,
13.2054,285.509,
14.1204,347.101,
16.4159,403.961,
19.0847,480.460,
22.0032,616.598,
24.0242,687.198,
25.9028,687.076,
28.7576,650.598,
30.2355,523.506,
32.1899,386.173,
34.7015,247.348,
39.9934,110.690,
43.6598,77.3315,
46.4848,68.6128,
50.3315,75.6444,
52.9277,101.411,
55.6578,135.954,
59.5080,123.273,
61.0234,141.959,
63.3802,290.701,
65.3006,1482.39,
67.2449,1763.62,
71.3045,2098.06,
94.3708,2287.00,
104.771,2119.04,
110.163,2095.91,
115.744,231.086,
120.617,42.9139,
126.316,66.9803,
129.575,198.436,
133.488,762.949,
136.362,2309.97,
143.393,2933.11,
159.870,3129.81,
182.002,3061.62,
191.360,2601.03,
196.920,424.014,
209.541,72.1851,
214.805,31.9631,
233.482,14.3056,
243.415,8.96671,
255.944,8.86880,
265.764,9.06275,
272.579,17.0145,
275.069,136.921,
277.542,729.252,
278.842,2960.49,
283.577,4012.57,
296.934,4236.04,
340.890,4470.99,
414.952,4667.35,
507.225,4979.28,
519.974,2277.81,
537.147,142.775,
581.448,76.0304,
601.127,45.6305,
