"Qion(mass), created by Plot Digitizer, 2.6.8"
"Date: 4/28/16, 3:20:09 PM"


33
mass,Qion
2.05416,0.00113952,
2.47991,0.00184095,
3.10884,0.00297520,
3.97971,0.00502277,
5.09459,0.00744332,
6.02317,0.0101048,
7.39431,0.0163274,
7.80766,0.0231250,
7.90495,0.170631,
8.10458,1.31508,
8.88542,5.28573,
10.0735,17.1022,
11.4201,68.7609,
12.1582,465.358,
12.7823,3746.74,
13.7799,42713.6,
14.6714,144253,
16.1519,785903,
17.7081,3.15878e+06,
19.9082,11147303,
21.5544,34519280,
22.5674,144841136,
25.6921,468659712,
30.3737,1026044928,
35.0177,2150326016,
39.8686,3626194688,
44.6387,4711094272,
49.7719,4715934208,
54.5738,4720033792,
58.3506,10323862528,
60.8488,5382633984,
63.1819,9892366336,
66.1626,5875891200,
