"radius(mass), created by Plot Digitizer, 2.6.8"
"Date: 4/28/16, 3:29:19 PM"


35
mass,radius
2.05127,24.3653,
2.40468,25.4376,
2.92716,27.7339,
3.69988,30.5649,
4.79537,32.6032,
6.42674,35.1543,
7.53454,45.1135,
7.89146,98.6012,
8.68921,130.745,
10.1870,169.617,
11.4054,186.985,
12.3991,134.962,
12.9268,88.3500,
14.1122,66.6002,
16.3367,62.3768,
18.5206,60.3593,
20.7338,52.3971,
21.5274,41.2568,
22.5367,23.7073,
24.6052,22.2070,
27.5455,19.0694,
30.9651,14.5309,
32.6921,10.8362,
33.6608,8.71984,
36.7506,8.25722,
40.2905,7.01431,
43.9849,5.17392,
46.6338,4.11816,
47.4159,3.10487,
53.5301,3.00448,
55.3539,3.38549,
58.7055,6.49502,
60.6893,3.38475,
63.2854,4.02676,
67.0986,3.49603,
